state_01,state_02,year,src_10_400,src_35_300
"MA","MD",1960,0,0
"MA","ME",1960,0,0
"MA","MI",1960,0,0
"MA","MN",1960,1,1
"MA","MO",1960,0,0
"MA","MS",1960,0,0
"MA","MT",1960,0,0
"MA","NC",1960,0,0
"MA","ND",1960,0,0
"MA","NE",1960,0,0
"MA","NH",1960,0,0
"MA","NJ",1960,0,0
"MA","NM",1960,0,0
"MA","NV",1960,0,0
"MA","NY",1960,0,1
"MA","OH",1960,0,1
"MA","OK",1960,0,0
"MA","OR",1960,1,0
"MA","PA",1960,0,0
"MA","RI",1960,0,0
"MA","SC",1960,0,0
"MA","SD",1960,0,0
"MA","TN",1960,0,0
"MA","TX",1960,1,0
"MA","UT",1960,1,0
"MA","VA",1960,0,0
"MA","VT",1960,0,0
"MA","WA",1960,1,0
"MA","WI",1960,0,0
"MA","WV",1960,0,0
"MA","WY",1960,0,0
"MD","AK",1960,0,0
"MD","AL",1960,0,1
"MD","AR",1960,0,0
"MD","AZ",1960,0,0
"MD","CA",1960,0,0
"MD","CO",1960,0,0
"MD","CT",1960,0,0
"MD","DE",1960,0,0
"MD","FL",1960,1,0
"MD","GA",1960,0,0
"MD","HI",1960,0,0
"MD","IA",1960,0,0
"MD","ID",1960,0,1
"MD","IL",1960,1,0
"MD","IN",1960,0,0
"MD","KS",1960,0,0
"MD","KY",1960,0,0
"MD","LA",1960,1,0
"MD","MA",1960,0,0
"MD","MD",1960,,
"MD","ME",1960,0,0
"MD","MI",1960,0,0
"MD","MN",1960,0,0
"MD","MO",1960,1,0
"MD","MS",1960,0,0
"MD","MT",1960,0,0
"MD","NC",1960,0,0
"MD","ND",1960,1,0
"MD","NE",1960,0,0
"MD","NH",1960,0,0
"MD","NJ",1960,0,0
"MD","NM",1960,0,0
"MD","NV",1960,0,0
"MD","NY",1960,0,1
"MD","OH",1960,0,0
"MD","OK",1960,0,0
"MD","OR",1960,0,0
"MD","PA",1960,0,0
"MD","RI",1960,0,1
"MD","SC",1960,0,0
